bank_id,display_name,bank_type,year,total_assets_tk_mn,loans_tk_mn,deposits_tk_mn,equity_tk_mn,nii_tk_mn,non_interest_income_tk_mn,npat_tk_mn,npl_amount_tk_mn,eps_bdt,roa_pct,roe_pct,npl_pct,provision_coverage_pct,loan_deposit_pct,car_pct,cost_income_pct
sonali_bank,Sonali Bank,SOCB,1974,4640.7,1677.0,2239.2,38.8,,,31.2,,,0.6723123666999999,80.41237113000001,,,74.89281886,,
sonali_bank,Sonali Bank,SOCB,1975,7271.2,2150.5,3329.3,63.9,,,80.9,,,1.112608648,126.6040689,,,64.59315772000001,,
sonali_bank,Sonali Bank,SOCB,1976,6387.2,2418.9,3844.1,74.2,,,91.1,,,1.42629008,122.77628030000001,,,62.92500195,,
sonali_bank,Sonali Bank,SOCB,1977,8964.9,3624.8,4661.5,76.7,,,97.8,,,1.09092126,127.5097784,,,77.76037756000001,,
sonali_bank,Sonali Bank,SOCB,1978,11755.2,4833.0,5995.0,80.0,,,63.9,,,0.5435892201,79.875,,,80.61718098,,
sonali_bank,Sonali Bank,SOCB,1979,17595.4,6755.9,8387.9,90.0,,,96.2,,,0.5467338054,106.88888889999998,,,80.5434018,,
sonali_bank,Sonali Bank,SOCB,1980,,9626.3,10966.6,95.0,,,177.2,,,,186.52631580000002,,,87.77834516,,
sonali_bank,Sonali Bank,SOCB,1981,24131.1,11855.5,11926.8,100.0,,,231.7,,,0.9601717286000001,231.70000000000002,,,99.40218667,,
sonali_bank,Sonali Bank,SOCB,1982,31351.4,16831.9,15960.9,127.0,,,481.0,,,1.534221757,378.7401575,,,105.45708579999999,,
sonali_bank,Sonali Bank,SOCB,1983,34834.7,17010.6,20496.8,187.0,,,504.5,,,1.448268537,269.7860963,,,82.99149135,,
sonali_bank,Sonali Bank,SOCB,1984,43460.8,22122.8,27031.2,247.4,,,552.3,,,1.270800353,223.2417138,,,81.84172364,,
sonali_bank,Sonali Bank,SOCB,1985,52751.2,27541.2,34576.0,277.4,,,499.1,,,0.9461396138999999,179.9206921,,,79.65409532999999,,
sonali_bank,Sonali Bank,SOCB,1986,57339.51,29271.5,35572.3,277.4,1129.87,288.11,100.0,,,0.17439981610000002,36.049026680000004,,,82.28734156,,
sonali_bank,Sonali Bank,SOCB,1987,62453.72,29807.6,39629.2,294.1,829.98,419.5,1.62,,,0.002593920746,0.55083305,,,75.21625468,,
sonali_bank,Sonali Bank,SOCB,1988,71715.69,35277.0,45795.4,309.1,866.46,435.81,15.0,,,0.02091592509,4.852798447,,,77.03175428,,
sonali_bank,Sonali Bank,SOCB,1989,77208.3,41867.6,52214.3,329.1,958.21,365.03,42.36,,,0.05486456767,12.87146764,,,80.18416411,,
sonali_bank,Sonali Bank,SOCB,1990,85327.62,44310.5,57391.8,2752.4,-3717.88,5100.68,51.43,,,0.06027356675,1.8685510830000003,,,77.20702261,,
sonali_bank,Sonali Bank,SOCB,1991,92778.14,45217.6,68765.8,2767.1,1133.59,434.09,16.9,,,0.01821549775,0.6107477142000001,,,65.75594262999999,,
sonali_bank,Sonali Bank,SOCB,1992,99861.58,48693.3,76678.4,2811.1,1197.71,560.23,44.75,,,0.04481202881,1.5919035250000002,,,63.50328124,,
sonali_bank,Sonali Bank,SOCB,1993,110816.12,53630.5,84684.6,3675.4,1261.67,703.4,19.57,,,0.01765988558,0.5324590521,,,63.32969631,,
sonali_bank,Sonali Bank,SOCB,1994,138706.8,53892.9,101410.8,4165.4,1223.61,1535.69,592.77,,,0.4273546791,14.23080617,,,53.14315635,,
sonali_bank,Sonali Bank,SOCB,1995,156844.18,65829.9,110832.5,4775.4,1515.13,1593.05,615.69,,,0.3925488341,12.892951380000001,,,59.39584508,,
sonali_bank,Sonali Bank,SOCB,1996,164005.24,76116.2,123834.5,5015.4,1404.1,1400.47,248.02,,,0.1512268754,4.94516888,,,61.46606963,,
sonali_bank,Sonali Bank,SOCB,1997,180681.8,85451.4,136061.7,5138.5,1039.42,1668.1,132.06,,,0.07308981868,2.570010704,,,62.80341933,,
sonali_bank,Sonali Bank,SOCB,1998,198900.22,94441.3,151706.5,5211.0,798.41,2171.91,101.91,,,0.051236745740000006,1.955670697,,,62.25263914,,
sonali_bank,Sonali Bank,SOCB,1999,221170.49,123562.9,169372.7,5308.2,954.13,2424.78,126.23,57761.0,,0.05707361773,2.378018914,46.75,17.01,72.95325634,,
sonali_bank,Sonali Bank,SOCB,2000,237680.25,133280.65,199204.02,5642.2,-929.74,5077.07,132.22,51506.53,,0.05562935919,2.343412144,38.65,19.79,66.90660659999999,,80.78
sonali_bank,Sonali Bank,SOCB,2001,254083.65,141993.25,211882.21,5706.2,-1400.46,5324.9,82.33,54399.11,,0.032402714619999995,1.442816585,38.31,17.41,67.01518263,5.0200000000000005,87.48
sonali_bank,Sonali Bank,SOCB,2002,271021.98,156112.68,218034.45,5856.2,-2049.58,6570.87,159.03,52233.37,,0.05867789764,2.715583484,33.46,15.65,71.60000633,5.07,79.86999999999999
sonali_bank,Sonali Bank,SOCB,2003,266851.26,155197.0,225914.64,5956.2,-1316.32,5661.34,106.0,49664.22,,0.03972250309,1.779658171,32.0,4.09,68.6971858,5.08,87.58
sonali_bank,Sonali Bank,SOCB,2004,292181.57,168283.03,247155.8,6106.2,-1502.75,6472.98,157.52,47653.62,,0.05391168238,2.579673119,28.32,3.6900000000000004,68.08783367,4.65,78.42
sonali_bank,Sonali Bank,SOCB,2005,337687.12,227009.62,272875.08,6306.2,555.38,7895.41,208.04,51125.51,,0.06160732456,3.298975611,22.52,7.55,83.19177405,4.06,53.1
sonali_bank,Sonali Bank,SOCB,2006,352893.82,241029.27,296565.8,-28444.37,923.46,7168.81,-36275.63,58900.87,,-10.27947443,127.5318455,24.44,56.8,81.27345432,-16.32,62.86000000000001
sonali_bank,Sonali Bank,SOCB,2007,461964.23,206347.59,328997.21,21741.73,2336.7,5328.16,973.58,92013.53,10.82,0.21074791869999998,4.477932528999999,44.59,52.2,62.7201641,,
sonali_bank,Sonali Bank,SOCB,2008,492946.15,231166.58,364385.97,24417.71,-864.07,13519.2,2311.11,72676.76,25.68,0.4688362005,9.46489249,31.44,61.36000000000001,63.44003311,,
sonali_bank,Sonali Bank,SOCB,2009,543969.27,254022.5,406151.57,30475.36,1883.08,14882.84,1536.77,69833.5,17.08,0.282510444,5.042663975,27.49,62.129999999999995,62.543769069999996,,
sonali_bank,Sonali Bank,SOCB,2010,649267.92,286098.07,478134.08,45773.86,3709.61,16878.74,2737.61,68314.86,30.42,0.42164565899999995,5.9807278649999995,23.880000000000003,66.58,59.836368490000005,,
sonali_bank,Sonali Bank,SOCB,2011,695192.11,345991.35,533192.17,56092.3,5499.76,17908.9,9957.22,61588.17,108.38,1.432297613,17.75149174,17.8,61.0,64.89055344,,
sonali_bank,Sonali Bank,SOCB,2012,753949.69,378147.06,599293.7,22390.0,-2265.16,24660.25,-31533.55,125975.3,-280.3,-4.182447505,-140.8376507,33.31,58.489999999999995,63.09878779,,
sonali_bank,Sonali Bank,SOCB,2013,852223.55,343450.53,685894.59,50008.69,-10994.74,25916.91,3580.18,103768.7,31.82,0.4200986936,7.1591157459999994,30.209999999999997,67.52,50.073369150000005,,
sonali_bank,Sonali Bank,SOCB,2014,934592.0,337554.0,778043.0,59579.0,-13380.0,34837.0,6054.0,86437.0,32.12,0.6477692939999999,10.16129844,25.61,60.6,43.38500571,12.24,60.160000000000004
sonali_bank,Sonali Bank,SOCB,2015,1026109.0,346346.0,866012.0,71573.0,-14386.0,37089.0,586.0,86850.0,1.53,0.05710894262,0.8187444986000001,25.080000000000002,45.660000000000004,39.99321026,10.08,61.89
sonali_bank,Sonali Bank,SOCB,2016,1200590.0,384538.0,1031608.0,67375.0,-16343.0,39969.0,1516.0,109114.0,3.96,0.12627125,2.250092764,28.37,36.0,37.27559305,10.33,94.01
sonali_bank,Sonali Bank,SOCB,2017,1256712.0,423218.0,1064311.0,66087.0,-15226.0,46679.0,7092.0,149302.0,18.5,0.5643297748,10.73130873,35.28,26.029999999999998,39.76450492,10.35,83.91999999999999
sonali_bank,Sonali Bank,SOCB,2018,1306842.0,464083.0,1093866.0,70137.0,-6293.0,45613.0,2264.0,121883.0,5.47,0.1732420599,3.22796812,26.26,36.14,42.42594614,10.100000000000001,74.13
sonali_bank,Sonali Bank,SOCB,2019,1472601.0,551026.0,1158788.0,68193.0,-4128.0,40855.0,2710.0,111994.0,5.98,0.1840281244,3.974014928,20.32,47.339999999999996,47.55192494,10.09,77.74
sonali_bank,Sonali Bank,SOCB,2020,1591233.0,586232.0,1258786.0,85616.0,-10240.0,53114.0,3234.0,107673.0,7.14,0.20323862059999998,3.77733134,18.37,53.61,46.57122021,10.02,74.61
sonali_bank,Sonali Bank,SOCB,2021,1706803.0,690596.0,1350815.0,76742.0,-9792.0,52181.0,3456.0,119585.0,7.63,0.202483825,4.503401006,17.32,53.13,51.12439527,10.040000000000001,75.67
sonali_bank,Sonali Bank,SOCB,2022,1789772.0,846430.0,1420362.0,81191.0,2089.0,48382.0,3710.0,125536.0,8.19,0.20728897310000002,4.569471986,14.829999999999998,57.66,59.59255457,10.05,73.9
sonali_bank,Sonali Bank,SOCB,2023,1981130.0,1008053.0,1506184.0,86559.0,4759.0,62880.0,6515.0,133410.0,14.38,0.3288527255,7.526658118,13.23,67.73,66.92761309000001,10.07,67.86999999999999
sonali_bank,Sonali Bank,SOCB,2024,2262301.0,991966.0,1650201.0,108900.0,13450.0,77660.0,8655.0,180583.0,19.11,0.3825750862,7.947658402,18.2,75.05,60.1118288,10.08,62.67
sonali_bank,Sonali Bank,SOCB,2025,2390982.0,1047243.0,1796215.0,123336.0,1985.0,112179.0,12411.0,166149.0,27.4,0.5190754259,10.062755399999999,15.870000000000001,85.42999999999999,58.302764419999995,10.11,57.440000000000005
sonali_bank,Sonali Bank,SOCB,2026,,,,,,,,,,,,,,,,
