bank_id,display_name,bank_type,year,total_assets_tk_mn,loans_tk_mn,deposits_tk_mn,equity_tk_mn,nii_tk_mn,non_interest_income_tk_mn,npat_tk_mn,npl_amount_tk_mn,eps_bdt,roa_pct,roe_pct,npl_pct,provision_coverage_pct,loan_deposit_pct,car_pct,cost_income_pct
brac_bank_plc,BRAC Bank PLC,CB,2022,563271.0,410676.0,384467.0,58418.0,15235.0,6152.0,5763.0,15277.2,3.58,1.14,10.22,3.72,99.0,79.94,19.38,70.0
brac_bank_plc,BRAC Bank PLC,CB,2023,726723.0,519452.0,513909.0,63782.0,17719.0,6317.0,7304.0,17557.5,4.13,1.13,11.95,3.38,102.0,74.29,18.6,66.0
brac_bank_plc,BRAC Bank PLC,CB,2024,930133.0,623372.0,689433.0,75797.0,13461.0,9524.0,12136.0,16394.7,6.1,1.46,17.36,2.63,120.0,70.75,19.05,57.0
brac_bank_plc,BRAC Bank PLC,CB,2025,1179672.0,730659.0,889517.0,99702.0,11778.0,8233.0,15809.0,16587.0,7.94,1.5,18.02,2.27,120.0,63.48,19.64,52.0
city_bank_plc,City Bank PLC,CB,2015,210221.0,143088.0,143729.0,20890.0,5506.0,2888.0,3600.0,10845.0,4.1,1.9,18.3,7.6,57.5,79.2,13.2,47.6
city_bank_plc,City Bank PLC,CB,2016,254776.0,175025.0,174695.0,20653.0,6477.0,3173.0,3956.0,10582.0,4.5,1.7,19.0,6.0,59.6,80.4,13.2,47.6
city_bank_plc,City Bank PLC,CB,2017,275531.0,196596.0,183493.0,24869.0,7495.0,4630.0,3628.0,10678.0,4.1,1.4,15.9,5.4,56.7,84.9,14.7,53.9
city_bank_plc,City Bank PLC,CB,2018,324780.0,231391.0,205170.0,24430.0,9201.0,4859.0,2018.0,12326.0,2.1,0.7,8.2,5.3,64.6,82.5,13.4,58.0
city_bank_plc,City Bank PLC,CB,2019,354689.0,246944.0,246704.0,25416.0,10832.0,5367.0,2472.0,14244.0,2.4,0.7,9.9,5.8,71.0,79.1,15.2,54.7
city_bank_plc,City Bank PLC,CB,2020,382926.0,268202.0,254781.0,28818.0,8363.0,4936.0,4012.0,10850.0,3.9,1.1,14.8,4.0,83.8,74.7,15.5,57.9
city_bank_plc,City Bank PLC,CB,2021,416902.0,286380.0,282064.0,31224.0,12048.0,6776.0,4743.0,13906.0,4.4,1.2,15.8,4.9,90.1,84.7,14.2,48.6
city_bank_plc,City Bank PLC,CB,2022,506847.0,354774.0,331890.0,32845.0,12359.0,8624.0,4508.0,13671.0,3.8,1.0,14.1,3.9,104.7,83.2,14.5,51.9
city_bank_plc,City Bank PLC,CB,2023,555738.0,396078.0,392510.0,37220.0,15831.0,7063.0,6151.0,14385.0,5.0,1.2,17.6,3.6,110.1,83.7,15.8,51.1
city_bank_plc,City Bank PLC,CB,2024,698062.0,444978.0,514204.0,46121.0,14742.0,8431.0,10851.0,16569.0,8.1,1.7,26.0,3.7,106.8,74.7,16.0,42.1
